"NUMER STACJI","DOSTĘPNE ROWERY",WSPÓŁRZĘDNE,"LICZBA STOJAKÓW","NUMERY DOSTĘPNYCH ROWERÓW"
11001,0,"54.381206488333, 18.605451056667",9,
11002,1,"54.374549665, 18.627224058333",5,98614
11003,0,"54.389476115, 18.59372332",9,
11004,0,"54.391271795, 18.577789818333",9,
11005,0,"54.40189596, 18.576254213333",9,
11006,0,"54.410990008333, 18.572524513333",9,
11007,0,"54.420810203333, 18.570160356667",9,
11008,1,"54.364952325, 18.57296017",5,98581
11009,0,"54.353327426667, 18.549555775",5,
11010,0,"54.355335863333, 18.528275468333",9,
11011,0,"54.356310783333, 18.64304021",6,
11012,0,"54.34760275, 18.644479018333",8,
11013,0,"54.322749656667, 18.605021673333",0,
11014,1,"54.382555871667, 18.467118086667",9,98642
11015,0,"54.373991863333, 18.506169586667",0,
11016,0,"54.355545936667, 18.645126561667",9,
11017,1,"54.377202241667, 18.571772325",9,99092
11018,0,"54.401087513333, 18.671520888333",5,
11019,1,"54.399430318333, 18.669306921667",5,600071
11020,2,"54.403036866667, 18.655352961667",5,"600144,600091"
11021,1,"54.400320858333, 18.661380451667",5,98368
11022,0,"54.405044698333, 18.643707285",5,
11023,2,"54.406698251667, 18.638499785",5,"98586,98964"
11024,1,"54.403013508333, 18.639353953333",5,99164
11025,1,"54.404176093333, 18.633219315",5,99168
11026,0,"54.35035993, 18.648269625",0,
11027,0,"54.377892123333, 18.60722541",5,
11029,0,"54.406339775, 18.631941601667",5,
11030,1,"54.40409936, 18.628376563333",5,99047
11031,0,"54.40806313, 18.627249458333",5,
11032,1,"54.40461, 18.624758",5,98979
11033,3,"54.411190568333, 18.62899765",5,"98483,99201,99146"
11034,0,"54.408102876667, 18.589788405",5,
11035,2,"54.404469511667, 18.612293803333",5,"99010,600354"
11036,0,"54.388868475, 18.64951413",9,
11037,0,"54.404236221667, 18.592152215",5,98012
11038,3,"54.40250535, 18.610815748333",5,"98741,98122,99169"
11039,0,"54.409203241667, 18.597614933333",9,
11040,0,"54.397173501667, 18.596892831667",9,
11041,0,"54.399339581667, 18.607312858333",5,
11042,1,"54.405475036667, 18.599633106667",5,98429
11043,0,"54.415008941667, 18.601156863333",5,
11044,2,"54.413397611667, 18.623681341667",5,"98212,99037"
11045,0,"54.407060003333, 18.589038235",5,
11046,1,"54.407433568333, 18.610112315",5,98617
11047,0,"54.402098661667, 18.59146372",9,
11048,1,"54.40764216, 18.614809228333",9,99031
11049,1,"54.396696745, 18.611912753333",5,98677
11050,1,"54.39547296, 18.603285878333",5,600192
11051,0,"54.388194971667, 18.617052265",5,
11052,2,"54.391456701667, 18.617009266667",5,"98719,99192"
11053,0,"54.385793313333, 18.616490498333",5,
11054,0,"54.38329625, 18.622345495",5,
11055,0,"54.388131998333, 18.622768745",9,
11056,0,"54.382330403333, 18.637924766667",5,
11057,1,"54.387023245, 18.628784993333",5,99051
11058,4,"54.356936415, 18.660539533333",9,"98655,98584,98526,99118"
11059,0,"54.413969413333, 18.598110675",5,
